date,change_percent,volume
2010-06-30,-0.25,17194392
2010-07-01,-7.85,8229862
2010-07-02,-12.57,5141806
2010-07-06,-16.09,6879295
2010-07-07,-1.93,6924913
2010-07-08,10.51,7719539
2010-07-09,-0.34,4058605
2010-07-12,-2.01,2203569
2010-07-13,6.39,2680059
2010-07-14,9.38,4196109
2010-07-15,0.25,3745296
2010-07-16,3.77,2621209
2010-07-19,6.16,2486488
2010-07-20,-7.35,1825230
2010-07-21,-0.39,1253441
2010-07-22,3.86,962344
2010-07-23,1.38,654049
2010-07-26,-1.59,922452
2010-07-27,-1.91,619675
2010-07-28,0.82,467183
2010-07-29,-1.78,615910
2010-07-30,-2.02,426830
2010-08-02,4.92,719145
2010-08-03,4.92,1231022
2010-08-04,-3.14,920755
2010-08-05,-3.81,796379
2010-08-06,-4.2,742138
2010-08-09,0.05,812655
2010-08-10,-2.91,1281285
2010-08-11,-5.94,797649
2010-08-12,-1.68,691281
2010-08-13,4.09,634513
2010-08-16,2.51,486211
2010-08-17,1.97,447881
2010-08-18,-1.99,601332
2010-08-19,0.11,579082
2010-08-20,1.64,297499
2010-08-23,5.4,1088028
2010-08-24,-4.62,673074
2010-08-25,3.65,503289
2010-08-26,-0.75,433736
2010-08-27,-0.26,379642
2010-08-30,0.87,732731
2010-08-31,-1.96,201012
2010-09-01,4.97,495685
2010-09-02,2.99,487060
2010-09-03,-0.05,434756
2010-09-07,-2.42,243335
2010-09-08,1.75,288382
2010-09-09,-0.9,376197
2010-09-10,-2.61,386571
2010-09-13,2.72,360703
2010-09-14,1.93,654629
2010-09-15,4.07,684758
2010-09-16,-4.73,2685879
2010-09-17,-3.39,1198457
2010-09-20,4.08,947474
2010-09-21,-1.35,795999
2010-09-22,-4.33,962815
2010-09-23,-1.56,668076
2010-09-24,2.76,578987
2010-09-27,2.14,418597
2010-09-28,4.24,1214464
2010-09-29,2.71,1969456
2010-09-30,-7.17,2196624
2010-10-01,0.96,599071
2010-10-04,1.89,643599
2010-10-05,0.62,331936
2010-10-06,-3.12,313552
2010-10-07,-0.15,141020
2010-10-08,0.0,268110
2010-10-11,-0.93,171194
2010-10-12,0.0,243912
2010-10-13,1.48,320541
2010-10-14,1.02,294620
2010-10-15,-1.01,284840
2010-10-18,-1.5,162729
2010-10-19,-0.89,245127
2010-10-20,2.99,312444
2010-10-21,0.48,417999
2010-10-22,-0.14,161021
2010-10-25,0.63,118614
2010-10-26,2.45,660841
2010-10-27,-1.69,356500
2010-10-28,0.91,224190
2010-10-29,3.07,280682
2010-11-01,-1.97,455784
2010-11-02,-0.74,322465
2010-11-03,2.44,374199
2010-11-04,14.38,1874800
2010-11-05,-1.85,1010945
2010-11-08,2.21,509475
2010-11-09,-1.4,957748
2010-11-10,19.2,3061037
2010-11-11,-4.51,1945093
2010-11-12,6.44,2729168
2010-11-15,3.22,2625132
2010-11-16,-3.67,1347730
2010-11-17,-0.61,750341
2010-11-18,1.36,956247
2010-11-19,3.68,1150493
2010-11-22,7.78,1529971
2010-11-23,3.5,1578069
2010-11-24,2.6,1424958
2010-11-26,-0.42,350554
2010-11-29,-2.8,1145542
2010-11-30,2.91,2222957
2010-12-01,-2.77,1299174
2010-12-02,-5.82,2006966
2010-12-03,-2.66,1160459
2010-12-06,-3.74,1274374
2010-12-07,4.12,1311547
2010-12-08,2.57,660980
2010-12-09,-0.99,405983
2010-12-10,-1.66,429381
2010-12-13,-3.07,410331
2010-12-14,-6.61,1766909
2010-12-15,3.75,742900
2010-12-16,4.09,790069
2010-12-17,1.79,813816
2010-12-20,1.08,523320
2010-12-21,1.77,777677
2010-12-22,1.14,833255
2010-12-23,-7.78,1557124
2010-12-27,-15.09,9302328
2010-12-28,3.37,4056588
2010-12-29,5.0,3319429
2010-12-30,-4.44,2041066
2010-12-31,0.49,1417846
2011-01-03,-0.03,1284083
2011-01-04,0.19,1189070
2011-01-05,0.6,1446868
2011-01-06,3.91,2061216
2011-01-07,1.29,2249539
2011-01-10,0.74,1342811
2011-01-11,-5.24,1711354
2011-01-12,0.0,964721
2011-01-13,-2.74,723522
2011-01-14,-1.79,1192120
2011-01-18,-0.43,1623838
2011-01-19,-6.28,2371513
2011-01-20,-5.87,2279957
2011-01-21,1.86,1216940
2011-01-24,6.3,1645188
2011-01-25,0.77,1271556
2011-01-26,0.29,1079866
2011-01-27,0.68,895654
2011-01-28,-3.65,1048810
2011-01-31,0.37,831574
2011-02-01,-0.79,707791
2011-02-02,0.13,569472
2011-02-03,-1.3,512067
2011-02-04,-0.72,543917
2011-02-07,-1.66,895010
2011-02-08,6.16,3505182
2011-02-09,-5.23,2636261
2011-02-10,0.03,836019
2011-02-11,0.15,636602
2011-02-14,-0.73,1283403
2011-02-15,-1.04,960850
2011-02-16,8.27,4115805
2011-02-17,-4.57,2619941
2011-02-18,-1.78,2370769
2011-02-22,-5.65,2064539
2011-02-23,-0.19,1605707
2011-02-24,3.21,1055449
2011-02-25,4.79,1347256
2011-02-28,1.19,1051105
2011-03-01,0.21,1106349
2011-03-02,0.33,663294
2011-03-03,1.42,640140
2011-03-04,2.42,1580099
2011-03-07,-0.04,2033530
2011-03-08,-1.12,1399850
2011-03-09,0.24,924720
2011-03-10,-2.87,1017046
2011-03-11,0.25,930793
2011-03-14,-3.41,1165970
2011-03-15,-1.29,1318868
2011-03-16,-0.57,1169675
2011-03-17,-0.04,922503
2011-03-18,0.66,687823
2011-03-21,-1.01,411650
2011-03-22,-2.38,582813
2011-03-23,0.09,422793
2011-03-24,0.54,462160
2011-03-25,1.88,567922
2011-03-28,2.2,1058017
2011-03-29,2.88,755591
2011-03-30,-0.88,1223876
2011-03-31,17.04,11522339
2011-04-01,-3.93,2865086
2011-04-04,-3.11,2609226
2011-04-05,3.37,3181726
2011-04-06,-0.79,1288296
2011-04-07,2.83,2810765
2011-04-08,-2.75,1946351
2011-04-11,-4.6,1372199
2011-04-12,-2.46,1357400
2011-04-13,1.14,1211443
2011-04-14,0.84,983381
2011-04-15,1.75,943450
2011-04-18,-2.15,1033870
2011-04-19,0.52,548693
2011-04-20,2.35,837468
2011-04-21,3.84,1386052
2011-04-25,-1.31,800838
2011-04-26,2.05,1372342
2011-04-27,0.56,996900
2011-04-28,2.14,1644996
2011-04-29,-0.22,726340
2011-05-02,-0.54,784559
2011-05-03,-2.11,913964
2011-05-04,-0.67,1047168
2011-05-05,-0.93,1219448
2011-05-06,2.57,981605
2011-05-09,2.91,916302
2011-05-10,1.5,1535625
2011-05-11,-4.45,962964
2011-05-12,2.22,627740
2011-05-13,-0.43,661577
2011-05-16,-3.45,755622
2011-05-17,-2.4,1234155
2011-05-18,1.5,729407
2011-05-19,7.02,2655366
2011-05-20,-0.81,842533
2011-05-23,-4.11,863547
2011-05-24,-0.37,613673
2011-05-25,8.46,4693810
2011-05-26,1.72,3336890
2011-05-27,0.24,1687068
2011-05-31,1.99,3290521
2011-06-01,-5.38,1530395
2011-06-02,0.85,986293
2011-06-03,4.77,6210208
2011-06-06,-4.75,2331766
2011-06-07,-1.15,1222098
2011-06-08,-4.4,1696935
2011-06-09,1.84,1604219
