date,reply count,sentiment type,sentiment score,change_percent2,volume2
2013-04-08,295,negative,0.79178846,0.63,2887120000
2013-11-19,1165,negative,0.9257098,-0.2,3224450000
2016-10-10,589,negative,0.78432256,0.46,2916550000
2017-03-24,445,negative,0.49655467,-0.08,2975130000
2017-06-09,1395,negative,0.4952427,-0.08,4027340000
2018-03-20,322,negative,0.48183495,0.15,3261030000
2018-03-26,709,negative,0.8666939,2.72,3511100000
2018-04-02,3804,negative,0.84097934,-2.23,3598520000
2018-04-13,1153,negative,0.76923823,-0.29,2960910000
2018-05-04,1409,negative,0.6730903,1.28,3327220000
2018-05-14,300,negative,0.47243273,0.09,2972660000
2018-05-15,3698,negative,0.9491715,-0.68,3290680000
2018-05-23,1585,negative,0.675753,0.32,3326290000
2018-08-06,1002,negative,0.54342,0.35,2874540000
2018-10-05,359,negative,0.89034003,-0.55,3328980000
2019-02-01,472,negative,0.5015891,0.09,3759270000
2019-02-26,326,negative,0.84676385,-0.08,3645680000
2019-03-05,274,negative,0.674083,-0.11,3585690000
2019-03-15,443,negative,0.51784676,0.5,5962730000
2019-04-22,504,negative,0.43942836,0.1,2997950000
2019-04-24,1079,negative,0.80399215,-0.22,3448960000
2019-05-30,417,negative,0.61278546,0.21,3273790000
2019-06-19,302,negative,0.76016414,0.3,3287890000
2019-09-05,756,negative,0.77433926,1.3,3890700000
2019-09-16,331,negative,0.46519852,-0.31,4274640000
2019-10-28,1062,negative,0.54187864,0.56,3521230000
2019-11-01,270,negative,0.5832736,0.97,3930200000
2019-11-20,313,negative,0.7619439,-0.38,4034890000
2020-04-13,333,negative,0.7833988,-1.01,5274310000
2020-05-01,11717,negative,0.7140991,-2.81,4753160000
2020-05-11,2922,negative,0.8823635,0.01,4807320000
2020-05-12,28612,negative,0.7453324,-2.05,5107710000
2020-06-10,379,negative,0.91220975,-0.53,6570840000
2020-07-06,500,negative,0.9295443,1.59,4736450000
2020-07-27,337,negative,0.5291286,0.74,3963910000
2020-07-30,301,negative,0.52078503,-0.38,4254010000
2020-09-09,1437,negative,0.7022572,2.01,3920830000
2020-09-17,440,negative,0.5210339,-0.84,4371940000
2020-09-21,757,negative,0.5271426,-1.16,4828350000
2020-12-23,3296,negative,0.5092461,0.07,3772630000
2021-01-08,472,negative,0.58057487,0.55,4764180000
2021-02-16,2801,negative,0.58710325,-0.06,5037360000
2021-02-19,1971,negative,0.62165844,-0.19,4823940000
2021-04-14,544,negative,0.49253207,-0.41,3976540000
2021-05-20,910,negative,0.60518175,1.06,3019060000
2021-06-01,643,negative,0.7320806,-0.05,4122960000
2021-06-02,1268,negative,0.6043822,0.14,4860930000
2021-07-09,1014,negative,0.56762576,1.13,2738280000
2021-07-29,708,negative,0.8008274,0.42,2815510000
2021-07-30,475,negative,0.78123033,-0.54,2861600000
2021-08-02,325,negative,0.6861476,-0.18,2919940000
2021-08-04,318,negative,0.48892894,-0.46,3382620000
2021-08-12,1000,negative,0.6090421,0.41,2543860000
2021-09-03,424,negative,0.71428025,-0.03,2609660000
2021-10-11,402,negative,0.50482684,-0.69,2580000000
2021-10-13,865,negative,0.7554226,0.3,2926460000
2021-10-14,649,negative,0.7576352,1.71,2642920000
2021-10-20,671,negative,0.7851506,0.37,2671560000
2021-10-26,414,negative,0.53325516,0.18,2866500000
2021-11-01,1163,negative,0.78784144,0.18,2924000000
2021-11-15,456,negative,0.9496426,-0.0,2618980000
2021-11-19,465,negative,0.49415597,-0.14,3265600000
2021-11-22,791,negative,0.921098,-0.32,3206280000
2021-11-24,501,negative,0.5137627,0.23,2464040000
2021-12-23,3956,negative,0.4885737,0.62,2194630000
2022-01-28,788,negative,0.5464876,2.43,3936030000
2022-01-31,9642,negative,0.8572973,1.89,4001950000
2022-02-04,536,negative,0.74634916,0.52,3673700000
2022-02-17,4307,negative,0.5687155,-2.12,3596510000
2022-02-22,870,negative,0.5053362,-1.01,4007780000
2022-03-07,5586,negative,0.77854085,-2.95,5506330000
2022-03-14,742,negative,0.8015299,-0.74,4757600000
2022-03-21,338,negative,0.72990096,-0.04,3961050000
2022-04-04,560,negative,0.47053304,0.81,3833500000
2022-04-11,1922,negative,0.51819885,-1.69,3452540000
2022-04-21,661,negative,0.8213357,-1.48,3833570000
2022-04-25,2939,negative,0.9416721,0.57,4061070000
2022-05-04,937,negative,0.6763728,2.99,4236210000
2022-05-09,1236,negative,0.67174256,-3.2,4746120000
2022-05-13,831,negative,0.6979878,2.39,4142950000
2022-05-17,8672,negative,0.6434974,2.02,3846580000
2022-05-18,15907,negative,0.56565017,-4.04,4428960000
2022-05-20,1019,negative,0.84249204,0.01,4278520000
2022-05-23,878,negative,0.9373887,1.86,3392770000
2022-05-25,861,negative,0.8182002,0.95,4322190000
2022-05-26,1153,negative,0.7128953,1.99,3961940000
2022-05-27,411,negative,0.7904321,2.47,3560560000
2022-05-31,635,negative,0.9136114,-0.63,5192220000
2022-06-02,2138,negative,0.50269705,1.84,3604930000
2022-06-10,1115,negative,0.89246696,-2.91,3936120000
2022-06-16,1727,negative,0.8307167,-3.25,4511200000
2022-07-25,1173,negative,0.93123686,0.13,2988650000
2022-08-10,1046,negative,0.41781846,2.13,3998590000
2022-08-17,6006,negative,0.8702814,-0.72,3293430000
2022-09-21,768,negative,0.9166081,-1.71,4078330000
2022-11-16,605,negative,0.83092165,-0.83,4165320000
2022-11-21,730,negative,0.9641398,-0.39,3850690000
2022-11-28,5049,negative,0.510232,-1.54,3615430000
2022-12-09,807,negative,0.8379243,-0.73,3888260000
