date,reply count,sentiment type,sentiment score,change_percent2,volume2
2013-06-05,623,neutral,0.59883595,-1.38,3632350000
2014-06-12,1080,neutral,0.8809252,-0.71,3040480000
2015-05-04,329,neutral,0.7550975,0.29,3091580000
2016-02-11,479,neutral,0.5281039,-1.23,5500800000
2016-07-15,340,neutral,0.856915,-0.09,3122600000
2016-07-20,284,neutral,0.67158985,0.43,3211860000
2016-08-23,598,neutral,0.64709514,0.2,3041490000
2016-09-22,294,neutral,0.63508195,0.65,3552830000
2016-10-10,319,neutral,0.808504,0.46,2916550000
2016-10-17,576,neutral,0.78467095,-0.3,2830390000
2016-10-19,616,neutral,0.80294806,0.22,3362670000
2016-10-20,843,neutral,0.7929919,-0.14,3337170000
2016-11-07,639,neutral,0.8051862,2.22,3736060000
2016-12-19,281,neutral,0.6492056,0.2,3248370000
2017-03-10,578,neutral,0.68527764,0.33,3432950000
2017-05-10,364,neutral,0.83549863,0.11,3643530000
2017-06-06,506,neutral,0.45463303,-0.28,3357840000
2017-06-08,762,neutral,0.514523,0.03,3728860000
2017-06-19,726,neutral,0.56641084,0.83,3264700000
2017-07-12,291,neutral,0.72444814,0.73,3171620000
2017-08-31,351,neutral,0.8500664,0.57,3348110000
2017-10-09,1884,neutral,0.5983394,-0.18,2483970000
2018-02-16,316,neutral,0.8388625,0.04,3637460000
2018-03-07,845,neutral,0.74634373,-0.05,3393270000
2018-04-04,964,neutral,0.48874998,1.16,3350340000
2018-04-16,734,neutral,0.9012025,0.81,3019700000
2018-05-04,358,neutral,0.5770067,1.28,3327220000
2018-05-09,466,neutral,0.6781764,0.97,3909500000
2018-05-21,964,neutral,0.52971613,0.74,3019890000
2018-06-12,1700,neutral,0.5497724,0.17,3401010000
2018-06-13,280,neutral,0.73856455,-0.4,3779230000
2018-06-25,443,neutral,0.83841246,-1.37,3655080000
2018-06-26,23389,neutral,0.7019644,0.22,3555090000
2018-08-07,5923,neutral,0.6715796,0.28,3162770000
2018-08-09,451,neutral,0.8740591,-0.14,3047050000
2018-08-13,2320,neutral,0.86540145,-0.4,3158450000
2018-08-20,1397,neutral,0.45978335,0.24,2748020000
2018-08-27,2004,neutral,0.44615677,0.77,2854080000
2018-09-06,657,neutral,0.8418827,-0.37,3139590000
2018-09-11,1318,neutral,0.69806063,0.37,2899660000
2018-09-17,607,neutral,0.49496257,-0.56,2947760000
2018-09-18,279,neutral,0.68582267,0.54,3074610000
2018-09-20,378,neutral,0.667017,0.78,3337730000
2018-10-01,990,neutral,0.44705564,0.36,3364190000
2018-10-05,1206,neutral,0.5409049,-0.55,3328980000
2018-10-12,1303,neutral,0.81020427,1.42,3966040000
2018-10-17,1471,neutral,0.4469638,-0.03,3321710000
2018-10-23,1056,neutral,0.7704699,-0.55,4348580000
2018-10-29,1414,neutral,0.7621864,-0.66,4673700000
2018-11-01,759,neutral,0.5965825,1.06,4708420000
2018-11-26,1924,neutral,0.56022996,1.55,3443950000
2018-12-10,1050,neutral,0.79492253,0.18,4151030000
2018-12-11,730,neutral,0.54501945,-0.04,3905870000
2018-12-19,1412,neutral,0.7169437,-1.54,5127940000
2018-12-26,469,neutral,0.5459059,4.96,4233990000
2019-01-10,663,neutral,0.59578633,0.45,3704500000
2019-01-23,474,neutral,0.5806779,0.22,3335610000
2019-01-28,1486,neutral,0.777396,-0.78,3612810000
2019-02-14,813,neutral,0.6050146,-0.27,3836700000
2019-02-20,4473,neutral,0.7241556,0.18,3835450000
2019-02-27,1810,neutral,0.78511804,-0.05,3767130000
2019-03-01,1515,neutral,0.6332467,0.69,3972280000
2019-03-04,689,neutral,0.67857593,-0.39,3919810000
2019-03-12,1197,neutral,0.66809124,0.3,3414230000
2019-03-15,830,neutral,0.56659466,0.5,5962730000
2019-03-18,1129,neutral,0.835218,0.37,3552190000
2019-03-22,1008,neutral,0.6413893,-1.9,4237200000
2019-03-25,1022,neutral,0.58112574,-0.08,3376580000
2019-03-26,292,neutral,0.53404725,0.72,3266050000
2019-04-04,352,neutral,0.8670707,0.21,3015180000
2019-04-05,497,neutral,0.6155793,0.46,3146820000
2019-04-08,628,neutral,0.6227511,0.1,3054030000
2019-04-15,2060,neutral,0.6023648,-0.06,3088330000
2019-04-23,782,neutral,0.8469107,0.88,3635030000
2019-04-24,9188,neutral,0.537355,-0.22,3448960000
2019-05-03,3530,neutral,0.78407323,0.96,3338120000
2019-05-07,320,neutral,0.8658421,-1.65,3767100000
2019-05-09,412,neutral,0.69451624,-0.3,3638820000
2019-05-10,294,neutral,0.50841045,0.37,3529600000
2019-05-14,291,neutral,0.7191542,0.8,3322720000
2019-05-17,983,neutral,0.53457195,-0.58,3257950000
2019-06-03,1704,neutral,0.87144804,-0.28,3966700000
2019-06-10,278,neutral,0.6548336,0.47,3209210000
2019-06-14,969,neutral,0.8335189,-0.16,2922330000
2019-06-19,2248,neutral,0.7912499,0.3,3287890000
2019-06-20,607,neutral,0.73148286,0.95,3905940000
2019-06-28,432,neutral,0.8485558,0.58,5420700000
2019-07-16,1174,neutral,0.74861115,-0.34,3290650000
2019-07-29,437,neutral,0.735323,-0.16,3203710000
2019-07-30,555,neutral,0.52750504,-0.26,3634330000
2019-08-12,781,neutral,0.7503738,-1.23,2851630000
2019-08-19,4379,neutral,0.7813077,1.21,3212880000
2019-08-20,1116,neutral,0.8368541,-0.79,3066300000
2019-09-09,620,neutral,0.87119156,-0.01,4002890000
2019-09-16,702,neutral,0.8661411,-0.31,4274640000
2019-09-26,1258,neutral,0.5246293,-0.24,3077240000
2019-10-07,2199,neutral,0.8753931,-0.45,2940140000
2019-10-16,275,neutral,0.89466494,-0.2,3222570000
2019-10-25,1559,neutral,0.7760346,0.41,3370370000
2019-10-28,945,neutral,0.86489695,0.56,3521230000
2019-11-22,2107,neutral,0.75250566,0.22,3226780000
2019-11-25,276,neutral,0.59739053,0.75,3511530000
2019-12-09,500,neutral,0.7956835,-0.32,3345990000
2019-12-19,1113,neutral,0.69218665,0.45,3720450000
2019-12-20,1619,neutral,0.76613593,0.49,6454270000
2019-12-23,1783,neutral,0.5726216,0.09,3060610000
2019-12-26,1036,neutral,0.7598359,0.51,2160680000
2020-01-29,3808,neutral,0.82755363,-0.09,3584500000
2020-02-03,747,neutral,0.48864686,0.73,3757910000
2020-02-10,847,neutral,0.6101223,0.73,3450350000
2020-02-11,323,neutral,0.5283938,0.17,3760550000
2020-02-12,334,neutral,0.7228586,0.65,3926380000
2020-02-24,286,neutral,0.6657734,-3.35,4842960000
2020-02-28,434,neutral,0.74346167,-0.82,8563850000
2020-03-10,3641,neutral,0.6808955,4.94,7635960000
2020-03-23,420,neutral,0.53691375,-2.93,7402180000
2020-04-09,281,neutral,0.8096174,1.45,7880140000
2020-04-16,3887,neutral,0.897579,0.58,5179990000
2020-04-23,732,neutral,0.59637576,-0.05,5756520000
2020-04-24,410,neutral,0.5119031,1.39,5374480000
2020-05-04,1107,neutral,0.84040815,0.42,4723140000
2020-05-06,283,neutral,0.76784605,-0.7,4861920000
2020-05-08,283,neutral,0.50422233,1.69,4857160000
2020-05-11,11045,neutral,0.7083726,0.01,4807320000
2020-05-12,598,neutral,0.548901,-2.05,5107710000
2020-05-14,1459,neutral,0.8781578,1.15,5641920000
2020-05-15,769,neutral,0.8213197,0.39,5477040000
2020-05-29,323,neutral,0.5798983,0.48,7275080000
2020-06-01,947,neutral,0.6721597,0.38,4673410000
2020-06-08,4449,neutral,0.78693944,1.2,8437380000
2020-06-10,723,neutral,0.88024944,-0.53,6570840000
2020-06-11,586,neutral,0.5445335,-5.89,7018890000
2020-06-16,276,neutral,0.861974,1.9,5829240000
2020-06-18,681,neutral,0.68889546,0.06,4429030000
2020-06-19,5520,neutral,0.6654297,-0.56,8327780000
2020-06-22,2385,neutral,0.87177783,0.65,4665380000
2020-06-25,1683,neutral,0.47026035,1.1,4815420000
2020-06-26,3297,neutral,0.5216985,-2.42,8098120000
2020-06-29,689,neutral,0.57207423,1.47,4462770000
2020-07-06,497,neutral,0.7947603,1.59,4736450000
2020-07-14,503,neutral,0.7292624,1.34,4476170000
2020-07-27,271,neutral,0.5285425,0.74,3963910000
2020-08-10,792,neutral,0.8875791,0.27,4318570000
2020-08-28,810,neutral,0.42342418,0.67,3855880000
2020-08-31,533,neutral,0.6407227,-0.22,4342290000
2020-09-08,2612,neutral,0.78434455,-2.78,4665600000
2020-09-17,1790,neutral,0.6874828,-0.84,4371940000
2020-09-21,428,neutral,0.6166125,-1.16,4828350000
2020-09-22,2950,neutral,0.60417056,1.05,3963300000
2020-09-28,290,neutral,0.7748808,1.61,3946060000
2020-10-02,498,neutral,0.5341019,-0.96,3961550000
2020-10-05,308,neutral,0.8612698,1.8,3686920000
2020-10-06,971,neutral,0.6880081,-1.4,4443380000
2020-10-07,374,neutral,0.62820023,1.74,3807830000
2020-10-13,271,neutral,0.548918,-0.63,3605150000
2020-10-14,369,neutral,0.9012654,-0.66,3840630000
2020-10-22,2946,neutral,0.5289251,0.52,4163630000
2020-10-29,9051,neutral,0.7064156,1.19,4903070000
2020-11-05,3243,neutral,0.59475577,1.95,4841190000
