date,reply count,sentiment type,sentiment score,change_percent,volume,change_percent2,volume2
2013-05-09,344,positive,0.8707341,24.4,28604967,-0.37,3457400000
2015-01-30,434,positive,0.8129757,-0.78,3006958,-1.3,4568650000
2015-03-30,970,positive,0.62389296,3.01,10089519,1.22,2917690000
2015-04-02,341,positive,0.9602046,1.82,5010367,0.35,3095960000
2016-04-11,1218,positive,0.9708269,-0.06,9161692,-0.27,3567840000
2016-05-06,392,positive,0.91406596,1.61,5685236,0.32,3796350000
2016-07-11,717,positive,0.90139216,3.69,5429821,0.34,3253340000
2016-07-19,740,positive,0.6650475,-0.44,3115064,-0.14,2968340000
2016-09-22,365,positive,0.61063766,0.59,2382901,0.65,3552830000
2016-10-10,619,positive,0.5430749,2.21,3316296,0.46,2916550000
2016-10-31,783,positive,0.7834957,-1.12,4692272,-0.01,3922400000
2016-11-18,408,positive,0.9359608,-1.93,5210346,-0.24,3572400000
2016-12-22,642,positive,0.80989766,0.36,3111107,-0.19,2876320000
2017-02-07,688,positive,0.81062245,-0.11,4244774,0.02,3448690000
2017-02-16,759,positive,0.9291161,-3.86,7077321,-0.09,3672370000
2017-04-07,738,positive,0.79843616,1.29,4579612,-0.08,3053150000
2017-04-12,700,positive,0.7854245,-3.85,6050681,-0.38,3196950000
2017-04-13,1634,positive,0.9821363,2.41,9284633,-0.68,3143890000
2017-05-10,635,positive,0.9684874,1.23,5741606,0.11,3643530000
2017-05-22,808,positive,0.9880735,-0.15,4329177,0.52,3172830000
2017-07-12,1266,positive,0.84167635,0.7,10346129,0.73,3171620000
2017-07-17,866,positive,0.5231863,-2.5,9876911,-0.01,2793170000
2017-07-26,570,positive,0.9804794,1.25,4820789,0.03,3557020000
2017-08-07,850,positive,0.97645944,-0.49,6324479,0.16,2931780000
2017-10-27,1114,positive,0.7991388,-1.63,6979703,0.81,3887110000
2017-11-13,2509,positive,0.78830814,4.1,7584943,0.1,3402930000
2017-12-04,3484,positive,0.48190925,-0.43,5835139,-0.11,4023150000
2017-12-21,702,positive,0.9917913,0.81,4385221,0.2,3273390000
2017-12-26,13724,positive,0.87823707,-2.43,4378412,-0.11,1968780000
2018-02-26,338,positive,0.97419786,1.53,4339984,1.18,3424650000
2018-04-19,1913,positive,0.50462264,2.29,6090598,-0.57,3349370000
2018-05-10,547,positive,0.9493365,-0.6,5651560,0.94,3333050000
2018-05-11,292,positive,0.4682473,-1.3,4679648,0.17,2862700000
2018-05-21,1091,positive,0.8218905,2.77,9182570,0.74,3019890000
2018-05-22,11944,positive,0.98423594,-3.33,8945755,-0.31,3366310000
2018-05-30,478,positive,0.70861775,2.81,7489685,1.27,3561050000
2018-06-01,586,positive,0.74387646,2.49,5424385,1.08,3684130000
2018-06-11,1912,positive,0.87003994,4.55,13183469,0.11,3232330000
2018-06-18,1319,positive,0.99040514,3.53,12073229,-0.21,3287150000
2018-06-19,366,positive,0.980452,-4.93,12761899,-0.4,3661470000
2018-06-22,917,positive,0.9509295,-3.99,10266059,0.19,5450550000
2018-07-02,4367,positive,0.9593797,-2.3,18759769,0.31,3073650000
2018-07-12,1050,positive,0.9897475,-0.71,5721165,0.87,2821690000
2018-07-13,489,positive,0.8055118,0.68,5875769,0.11,2614000000
2018-07-26,773,positive,0.5428917,-0.68,4630521,-0.3,3653330000
2018-08-01,1302,positive,0.9771274,0.91,10129429,-0.1,3496990000
2018-08-02,3897,positive,0.9390006,16.19,23214960,0.49,3467380000
2018-08-06,315,positive,0.9876609,-1.77,8564331,0.35,2874540000
2018-08-13,617,positive,0.9847178,0.26,10463879,-0.4,3158450000
2018-08-14,622,positive,0.9693938,-2.46,6986427,0.64,2976970000
2018-08-20,605,positive,0.983216,0.96,17402339,0.24,2748020000
2018-08-24,1274,positive,0.78247064,0.85,3602563,0.62,2596190000
2018-08-27,595,positive,0.67171276,-1.1,13079289,0.77,2854080000
2018-09-04,282,positive,0.98449624,-4.21,8350468,-0.17,3077060000
