date,reply count,sentiment type,sentiment score,change_percent,volume
2020-07-24,1716,positive,0.9874504,-6.35,19396618
2020-07-24,1095,positive,0.6171786,-6.35,19396618
2020-07-14,503,neutral,0.7292624,1.32,23418140
2020-07-14,282,positive,0.9149486,1.32,23418140
2020-07-08,867,positive,0.825061,-1.73,16311310
2020-07-06,477,positive,0.6009267,13.48,20569858
2020-07-06,497,neutral,0.7947603,13.48,20569858
2020-07-06,272,neutral,0.6029758,13.48,20569858
2020-07-06,500,negative,0.9295443,13.48,20569858
2020-07-02,4586,positive,0.914602,7.95,17250118
2020-07-02,505,positive,0.7740978,7.95,17250118
2020-07-01,1573,positive,0.81428945,3.69,13326899
2020-06-29,689,neutral,0.57207423,5.17,9026403
2020-06-26,276,positive,0.9526325,-2.66,8854907
2020-06-26,3297,neutral,0.5216985,-2.66,8854907
2020-06-25,346,positive,0.98720884,2.62,9254548
2020-06-25,385,positive,0.9622915,2.62,9254548
2020-06-25,1683,neutral,0.47026035,2.62,9254548
2020-06-22,1466,neutral,0.78342503,-0.66,6362349
2020-06-22,2385,neutral,0.6352617,-0.66,6362349
2020-06-22,1075,neutral,0.67547107,-0.66,6362349
2020-06-22,777,positive,0.95027155,-0.66,6362349
2020-06-22,328,neutral,0.87177783,-0.66,6362349
2020-06-19,5520,neutral,0.6654297,-0.3,8679748
2020-06-18,681,neutral,0.68889546,1.23,9751935
2020-06-16,276,neutral,0.861974,-0.89,14051079
2020-06-16,1965,positive,0.92656636,-0.89,14051079
2020-06-11,586,neutral,0.5445335,-5.09,15916479
2020-06-10,340,positive,0.93113565,8.97,18563409
2020-06-10,723,neutral,0.88024944,8.97,18563409
2020-06-10,379,negative,0.91220975,8.97,18563409
2020-06-08,600,positive,0.63039595,7.26,14174729
2020-06-08,4449,neutral,0.78693944,7.26,14174729
2020-06-01,947,neutral,0.6721597,7.56,15085299
2020-05-29,323,neutral,0.5798983,3.62,11812489
2020-05-19,2425,positive,0.60647273,-0.69,9636521
2020-05-15,769,neutral,0.8213197,-0.52,10518428
2020-05-14,1459,neutral,0.8781578,1.56,13682190
2020-05-13,577,positive,0.9783155,-2.28,19065489
2020-05-12,460,negative,0.7453324,-0.23,15906910
2020-05-12,598,neutral,0.548901,-0.23,15906910
2020-05-12,28612,negative,0.4577494,-0.23,15906910
2020-05-12,3620,negative,0.73514897,-0.23,15906910
2020-05-11,371,positive,0.9422861,-0.99,16519599
2020-05-11,342,negative,0.8318727,-0.99,16519599
2020-05-11,1672,positive,0.99179214,-0.99,16519599
2020-05-11,315,negative,0.50615484,-0.99,16519599
2020-05-11,1945,negative,0.8823635,-0.99,16519599
2020-05-11,284,neutral,0.62151885,-0.99,16519599
2020-05-11,480,positive,0.8944032,-0.99,16519599
2020-05-11,293,neutral,0.473918,-0.99,16519599
2020-05-11,11045,neutral,0.7083726,-0.99,16519599
2020-05-11,2922,negative,0.8717027,-0.99,16519599
2020-05-08,283,neutral,0.50422233,5.05,16130089
2020-05-07,405,positive,0.98189265,-0.32,11527689
2020-05-06,283,neutral,0.76784605,1.87,11123228
2020-05-04,5508,positive,0.5883988,8.54,19237087
2020-05-04,1107,neutral,0.84040815,8.54,19237087
2020-05-04,345,positive,0.94601,8.54,19237087
