date,reply count,sentiment type,sentiment score,change_percent,volume
2013-04-08,295,negative,0.79178846,1.11,1679000
2013-11-19,1165,negative,0.9257098,3.71,19816149
2016-10-10,589,negative,0.78432256,2.21,3316296
2017-03-24,445,negative,0.49655467,3.29,5647252
2017-06-09,1395,negative,0.4952427,-3.43,17261438
2018-03-20,322,negative,0.48183495,-0.96,4764292
2018-03-26,709,negative,0.8666939,0.88,8375175
2018-04-02,3804,negative,0.84097934,-5.13,16113969
2018-04-13,1153,negative,0.76923823,2.13,7327223
2018-05-04,1409,negative,0.6730903,3.39,8569353
2018-05-14,300,negative,0.47243273,-3.02,7286803
2018-05-15,3698,negative,0.9491715,-2.67,9519107
2018-05-23,1585,negative,0.675753,1.48,5985052
2018-08-06,1002,negative,0.54342,-1.77,8564331
2018-10-05,359,negative,0.89034003,-7.05,17944536
2019-02-01,472,negative,0.5015891,1.69,7283440
2019-02-26,326,negative,0.84676385,-0.3,8582535
2019-03-05,274,negative,0.674083,-3.09,18764739
2019-03-15,443,negative,0.51784676,-5.01,14785529
2019-04-22,504,negative,0.43942836,-3.85,12147139
2019-04-24,1079,negative,0.80399215,-1.99,10727449
2019-05-30,417,negative,0.61278546,-0.86,7926475
2019-06-19,302,negative,0.76016414,0.75,6575134
2019-09-05,756,negative,0.77433926,4.03,7403321
2019-09-16,331,negative,0.46519852,-0.98,4728095
2019-10-28,1062,negative,0.54187864,-0.13,18870288
2019-11-01,270,negative,0.5832736,-0.51,6383928
2019-11-20,313,negative,0.7619439,-2.03,6733964
2020-04-13,333,negative,0.7833988,13.6,22475419
2020-05-01,11717,negative,0.7140991,-10.3,32531807
2020-05-11,2922,negative,0.8823635,-0.99,16519599
2020-05-12,28612,negative,0.7453324,-0.23,15906910
2020-06-10,379,negative,0.91220975,8.97,18563409
2020-07-06,500,negative,0.9295443,13.48,20569858
2020-07-27,337,negative,0.5291286,8.65,16048670
2020-07-30,301,negative,0.52078503,-0.78,7621039
2020-09-09,1437,negative,0.7022572,10.92,79465763
2020-09-17,440,negative,0.5210339,-4.15,76779153
2020-09-21,757,negative,0.5271426,1.64,109476793
2020-12-23,3296,negative,0.5092461,0.88,33172968
2021-01-08,472,negative,0.58057487,7.84,75055528
2021-02-16,2801,negative,0.58710325,-2.44,19802319
2021-02-19,1971,negative,0.62165844,-0.77,18958259
2021-04-14,544,negative,0.49253207,-3.95,49017432
2021-05-20,910,negative,0.60518175,4.14,30821118
2021-06-01,643,negative,0.7320806,-0.21,18084890
2021-06-02,1268,negative,0.6043822,-3.01,23302778
2021-07-09,1014,negative,0.56762576,0.63,18140550
2021-07-29,708,negative,0.8008274,4.69,30394640
2021-07-30,475,negative,0.78123033,1.45,29656407
2021-08-02,325,negative,0.6861476,3.27,33615769
2021-08-04,318,negative,0.48892894,0.17,17002649
2021-08-12,1000,negative,0.6090421,2.04,17681688
2021-09-03,424,negative,0.71428025,0.16,15271049
2021-10-11,402,negative,0.50482684,0.82,14200319
2021-10-13,865,negative,0.7554226,0.67,14120079
2021-10-14,649,negative,0.7576352,0.89,12247169
2021-10-20,671,negative,0.7851506,0.18,14032049
2021-10-26,414,negative,0.53325516,-0.63,62414967
2021-11-01,1163,negative,0.78784144,8.49,56048717
2021-11-15,456,negative,0.9496426,-1.94,34775647
2021-11-19,465,negative,0.49415597,3.71,21642259
2021-11-22,791,negative,0.921098,1.74,33072511
2021-11-24,501,negative,0.5137627,0.63,22560239
2021-12-23,3956,negative,0.4885737,5.76,30904429
2022-01-28,788,negative,0.5464876,2.08,44929646
2022-01-31,9642,negative,0.8572973,10.68,34812030
2022-02-04,536,negative,0.74634916,3.61,24541819
2022-02-17,4307,negative,0.5687155,-5.09,18392810
2022-02-22,870,negative,0.5053362,-4.14,27762728
2022-03-07,5586,negative,0.77854085,-4.02,24164720
2022-03-14,742,negative,0.8015299,-3.64,23717419
2022-03-21,338,negative,0.72990096,1.74,27327220
2022-04-04,560,negative,0.47053304,5.61,27392567
2022-04-11,1922,negative,0.51819885,-4.83,19785739
2022-04-21,661,negative,0.8213357,3.23,35138780
2022-04-25,2939,negative,0.9416721,-0.7,22780446
2022-05-04,937,negative,0.6763728,4.77,27214567
2022-05-09,1236,negative,0.67174256,-9.07,30270069
2022-05-13,831,negative,0.6979878,5.71,30716909
2022-05-17,8672,negative,0.6434974,5.14,26745366
2022-05-18,15907,negative,0.56565017,-6.8,29270599
2022-05-20,1019,negative,0.84249204,-6.42,48324439
2022-05-23,878,negative,0.9373887,1.66,29634550
2022-05-25,861,negative,0.8182002,4.88,30713108
2022-05-26,1153,negative,0.7128953,7.43,35334448
2022-05-27,411,negative,0.7904321,7.33,29764989
2022-05-31,635,negative,0.9136114,-0.18,33971460
2022-06-02,2138,negative,0.50269705,4.68,31157710
2022-06-10,1115,negative,0.89246696,-3.12,32696968
2022-06-16,1727,negative,0.8307167,-8.54,35796897
2022-07-25,1173,negative,0.93123686,-1.4,21357839
2022-08-10,1046,negative,0.41781846,3.89,31639618
2022-08-17,6006,negative,0.8702814,-0.84,22921989
2022-09-21,768,negative,0.9166081,-2.57,62555660
2022-11-16,605,negative,0.83092165,-3.86,66567602
2022-11-21,730,negative,0.9641398,-6.84,92882711
2022-11-28,5049,negative,0.510232,0.03,93038148
2022-12-09,807,negative,0.8379243,3.23,104872305
