date,reply count,sentiment type,sentiment score,change_percent,volume
2013-06-05,623,neutral,0.59883595,0.56,12224729
2014-06-12,1080,neutral,0.8809252,-0.46,5997143
2015-05-04,329,neutral,0.7550975,1.98,4434595
2016-02-11,479,neutral,0.5281039,4.73,14252359
2016-07-15,340,neutral,0.856915,-0.51,2234246
2016-07-20,284,neutral,0.67158985,1.38,2568497
2016-08-23,598,neutral,0.64709514,0.86,4784417
2016-09-22,294,neutral,0.63508195,0.59,2382901
2016-10-10,319,neutral,0.808504,2.21,3316296
2016-10-17,576,neutral,0.78467095,-1.3,4554079
2016-10-19,616,neutral,0.80294806,2.24,6991183
2016-10-20,843,neutral,0.7929919,-2.19,5072876
2016-11-07,639,neutral,0.8051862,1.39,3870111
2016-12-19,281,neutral,0.6492056,0.12,3488070
2017-03-10,578,neutral,0.68527764,-0.49,3066271
2017-05-10,364,neutral,0.83549863,1.23,5741606
2017-06-06,506,neutral,0.45463303,1.59,11086799
2017-06-08,762,neutral,0.514523,2.88,9061495
2017-06-19,726,neutral,0.56641084,-0.43,6549331
2017-07-12,291,neutral,0.72444814,0.7,10346129
2017-08-31,351,neutral,0.8500664,0.77,4072794
2017-10-09,1884,neutral,0.5983394,-3.91,7493652
2018-02-16,316,neutral,0.8388625,0.43,5642636
2018-03-07,845,neutral,0.74634373,1.25,5007296
2018-04-04,964,neutral,0.48874998,7.26,19896749
2018-04-16,734,neutral,0.9012025,-3.04,6338487
2018-05-04,358,neutral,0.5770067,3.39,8569353
2018-05-09,466,neutral,0.6781764,1.62,5727364
2018-05-21,964,neutral,0.52971613,2.77,9182570
2018-06-12,1700,neutral,0.5497724,3.21,22347399
2018-06-13,280,neutral,0.73856455,0.59,9469803
2018-06-25,443,neutral,0.83841246,-0.19,6931303
2018-06-26,23389,neutral,0.7019644,2.7,7452486
2018-08-07,5923,neutral,0.6715796,10.99,30875769
2018-08-09,451,neutral,0.8740591,-4.83,17183810
2018-08-13,2320,neutral,0.86540145,0.26,10463879
2018-08-20,1397,neutral,0.45978335,0.96,17402339
2018-08-27,2004,neutral,0.44615677,-1.1,13079289
2018-09-06,657,neutral,0.8418827,0.07,7480759
2018-09-11,1318,neutral,0.69806063,-2.12,9169988
2018-09-17,607,neutral,0.49496257,-0.12,6887576
2018-09-18,279,neutral,0.68582267,-3.35,16547519
2018-09-20,378,neutral,0.667017,-0.23,7349420
2018-10-01,990,neutral,0.44705564,17.35,21777599
2018-10-05,1206,neutral,0.5409049,-7.05,17944536
2018-10-12,1303,neutral,0.81020427,2.6,7201403
2018-10-17,1471,neutral,0.4469638,-1.74,8655541
2018-10-23,1056,neutral,0.7704699,12.72,19027751
2018-10-29,1414,neutral,0.7621864,1.19,14486030
2018-11-01,759,neutral,0.5965825,2.06,8000131
2018-11-26,1924,neutral,0.56022996,6.19,7992140
2018-12-10,1050,neutral,0.79492253,2.01,6613454
2018-12-11,730,neutral,0.54501945,0.44,6308768
2018-12-19,1412,neutral,0.7169437,-1.2,8274180
2018-12-26,469,neutral,0.5459059,10.39,8163137
2019-01-10,663,neutral,0.59578633,1.9,6056353
2019-01-23,474,neutral,0.5806779,-3.79,12529989
2019-01-28,1486,neutral,0.777396,-0.22,6423278
2019-02-14,813,neutral,0.6050146,-1.43,5200831
2019-02-20,4473,neutral,0.7241556,-1.01,7142116
2019-02-27,1810,neutral,0.78511804,5.67,11183909
2019-03-01,1515,neutral,0.6332467,-7.84,22911380
2019-03-04,689,neutral,0.67857593,-3.2,17096819
2019-03-12,1197,neutral,0.66809124,-2.6,7504136
2019-03-15,830,neutral,0.56659466,-5.01,14785529
2019-03-18,1129,neutral,0.835218,-2.16,10280979
2019-03-22,1008,neutral,0.6413893,-3.46,8745608
2019-03-25,1022,neutral,0.58112574,-1.55,10215029
2019-03-26,292,neutral,0.53404725,2.82,7350947
2019-04-04,352,neutral,0.8670707,-8.23,23720730
2019-04-05,497,neutral,0.6155793,2.68,13038259
2019-04-08,628,neutral,0.6227511,-0.64,10410439
2019-04-15,2060,neutral,0.6023648,-0.49,10038579
2019-04-23,782,neutral,0.8469107,0.44,10943859
2019-04-24,9188,neutral,0.537355,-1.99,10727449
2019-05-03,3530,neutral,0.78407323,4.48,23706769
2019-05-07,320,neutral,0.8658421,-3.24,10131409
2019-05-09,412,neutral,0.69451624,-1.17,6711380
2019-05-10,294,neutral,0.50841045,-1.02,7008335
2019-05-14,291,neutral,0.7191542,2.33,7252411
2019-05-17,983,neutral,0.53457195,-7.58,17786671
2019-06-03,1704,neutral,0.87144804,-3.34,13064409
2019-06-10,278,neutral,0.6548336,4.1,10585039
2019-06-14,969,neutral,0.8335189,0.47,7433401
2019-06-19,2248,neutral,0.7912499,0.75,6575134
2019-06-20,607,neutral,0.73148286,-3.01,11863459
2019-06-28,432,neutral,0.8485558,0.28,6851383
2019-07-16,1174,neutral,0.74861115,-0.44,8148988
2019-07-29,437,neutral,0.735323,3.39,9273331
2019-07-30,555,neutral,0.52750504,2.75,8109013
2019-08-12,781,neutral,0.7503738,-2.55,4663936
2019-08-19,4379,neutral,0.7813077,3.13,5311747
2019-08-20,1116,neutral,0.8368541,-0.43,4170526
2019-09-09,620,neutral,0.87119156,1.91,4802668
2019-09-16,702,neutral,0.8661411,-0.98,4728095
2019-09-26,1258,neutral,0.5246293,6.06,12078789
2019-10-07,2199,neutral,0.8753931,2.72,8086956
2019-10-16,275,neutral,0.89466494,0.72,6704302
2019-10-25,1559,neutral,0.7760346,9.49,30006086
2019-10-28,945,neutral,0.86489695,-0.13,18870288
2019-11-22,2107,neutral,0.75250566,-6.14,16870640
2019-11-25,276,neutral,0.59739053,0.99,12345769
2019-12-09,500,neutral,0.7956835,1.08,9040216
2019-12-19,1113,neutral,0.69218665,2.77,18120310
2019-12-20,1619,neutral,0.76613593,0.38,14785209
2019-12-23,1783,neutral,0.5726216,3.36,13332819
2019-12-26,1036,neutral,0.7598359,1.34,10648289
2020-01-29,3808,neutral,0.82755363,2.49,18216671
2020-02-03,747,neutral,0.48864686,19.89,47233497
2020-02-10,847,neutral,0.6101223,3.1,24689158
2020-02-11,323,neutral,0.5283938,0.4,11697469
2020-02-12,334,neutral,0.7228586,-0.92,12022469
2020-02-24,286,neutral,0.6657734,-7.46,15192159
