date,reply count,sentiment type,sentiment score,change_percent,volume
2011-12-05,42,negative,0.5067324,3.36,1160049
2011-12-21,26,negative,0.7986371,-1.18,1705806
2011-12-30,1982,negative,0.73900676,-0.59,339860
2012-01-17,45,negative,0.53178793,16.72,4652385
2012-01-18,164,negative,0.7622086,0.79,1260182
2012-02-01,22,negative,0.51690656,1.75,523169
2012-02-08,16,negative,0.6906378,1.04,623626
2012-02-21,105,negative,0.5150744,-1.34,1135787
2012-03-12,12,negative,0.68659955,3.66,1964519
2012-04-03,19,negative,0.5151353,3.91,1104149
2012-05-14,23,negative,0.8354016,-6.79,1380841
2012-07-23,24,negative,0.69578993,-3.55,1386742
2012-07-27,3,negative,0.8397332,4.91,1672967
2012-08-01,80,negative,0.6755511,-4.27,1592216
2012-11-20,25,negative,0.5497123,0.24,922426
2012-11-27,79,negative,0.4949303,-0.37,910769
2012-12-12,34,negative,0.64286536,-0.06,2063876
2012-12-14,25,negative,0.7855156,0.59,1022942
2013-02-04,74,negative,0.8422804,-1.46,1127988
2013-02-11,126,negative,0.57825905,-2.09,3266247
2013-02-27,2,negative,0.6541455,1.95,1959128
2013-03-01,58,negative,0.72423905,-0.52,1546599
2013-03-25,57,negative,0.6580867,2.49,2379353
2013-04-01,10,negative,0.47949716,15.94,14105870
2013-04-08,295,negative,0.79178846,1.11,1679000
2013-04-09,84,negative,0.72138405,-3.18,1696035
2013-04-11,34,negative,0.6057023,4.13,3448080
2013-04-24,109,negative,0.94933784,-1.14,2630107
2013-04-26,10,negative,0.63965195,-1.54,3622429
2013-05-01,4,negative,0.7434697,-1.31,2742777
2013-05-03,13,negative,0.8896527,0.82,3379402
2013-05-13,9,negative,0.89695895,14.38,22416819
2013-05-23,66,negative,0.8811772,6.29,12044259
2013-05-24,135,negative,0.8123376,4.69,16124190
2013-06-06,60,negative,0.6148699,2.08,9514405
2013-06-21,5,negative,0.52983916,-1.09,11718529
2013-07-15,37,negative,0.7556293,-2.03,9924335
2013-11-19,1165,negative,0.9257098,3.71,19816149
2013-11-29,145,negative,0.53585064,0.27,9716218
2013-12-03,4,negative,0.7897123,16.53,25682398
2013-12-10,46,negative,0.9340301,0.42,10748229
2014-02-11,181,negative,0.5318925,0.03,10734469
2014-03-11,207,negative,0.6794751,-1.86,8836348
2014-03-14,163,negative,0.7116643,-2.87,8289732
2014-03-17,264,negative,0.745565,1.3,5912591
2014-04-07,97,negative,0.84595037,-2.22,9855477
2014-05-08,128,negative,0.5960537,-11.3,20056392
2014-06-04,83,negative,0.5701937,-0.46,3434501
2014-06-13,294,negative,0.5851183,1.42,3546788
2014-08-04,633,negative,0.72490686,2.25,5967405
2014-08-26,66,negative,0.63591474,-0.31,3822571
2014-10-17,139,negative,0.72807705,0.5,10551849
2014-11-19,279,negative,0.9365256,-3.86,7918484
2014-12-22,260,negative,0.5285244,1.51,4806916
2015-01-12,407,negative,0.83104646,-2.15,5950279
2015-01-26,385,negative,0.62347704,2.61,3234521
2015-02-09,201,negative,0.4938326,0.06,3472422
2015-03-02,63,negative,0.5714712,-2.96,7922064
