date,reply count,sentiment type,sentiment score,change_percent,volume
2011-12-01,29,neutral,0.6384011,-0.43,1030107
2011-12-21,37,neutral,0.78341883,-1.18,1705806
2011-12-22,88,neutral,0.6498006,0.72,1009801
2011-12-28,11,neutral,0.5497057,-0.21,575138
2011-12-30,63,neutral,0.7030021,-0.59,339860
2012-01-03,5,neutral,0.64941233,-1.68,928051
2012-01-06,12,neutral,0.5905337,-0.77,986286
2012-01-09,28,neutral,0.81383044,1.27,896950
2012-01-13,32,neutral,0.51533264,-19.33,5506437
2012-01-17,55,neutral,0.4921446,16.72,4652385
2012-01-23,6,neutral,0.87379,0.64,594533
2012-01-24,45,neutral,0.4647809,2.43,857913
2012-01-30,32,neutral,0.71539074,0.82,728979
2012-02-01,16,neutral,0.688328,1.75,523169
2012-02-06,23,neutral,0.9152135,2.09,652161
2012-02-08,15,neutral,0.5522614,1.04,623626
2012-02-09,42,neutral,0.87130183,2.03,1277967
2012-02-10,156,neutral,0.7044196,-4.54,1874138
2012-02-13,29,neutral,0.61119014,1.25,1157857
2012-02-17,12,neutral,0.5106745,2.31,1376644
2012-02-22,13,neutral,0.8387447,-0.81,1654984
2012-02-27,35,neutral,0.8901991,-0.39,605953
2012-02-29,19,neutral,0.85951096,-1.18,535684
2012-03-02,6,neutral,0.928575,-1.08,549971
2012-03-07,39,neutral,0.57238257,0.03,364831
2012-03-12,82,neutral,0.6972208,3.66,1964519
2012-03-15,5,neutral,0.7823491,-0.82,571596
2012-04-02,14,neutral,0.73711,-1.77,1028503
2012-04-04,13,neutral,0.6248255,-7.92,4482815
2012-04-05,75,neutral,0.57229173,-1.48,1509477
2012-04-09,6,neutral,0.75005436,-3.86,1655804
2012-04-18,429,neutral,0.5905969,1.3,823095
2012-04-20,17,neutral,0.5842234,0.0,821773
2012-04-23,20,neutral,0.5519848,-3.68,890714
2012-04-24,31,neutral,0.9006884,-0.38,674467
2012-04-25,32,neutral,0.64961743,3.43,712133
2012-04-30,29,neutral,0.5805597,-0.63,413948
2012-05-03,7,neutral,0.8896638,-4.36,842106
2012-05-07,12,neutral,0.83769506,2.01,1157968
2012-05-08,32,neutral,0.6284381,-7.02,3097179
2012-05-11,23,neutral,0.8176259,-2.15,1221204
2012-05-21,91,neutral,0.7806277,4.39,1475169
2012-05-22,78,neutral,0.8943905,7.02,2366169
2012-05-23,25,neutral,0.632389,0.75,1220348
2012-05-24,36,neutral,0.86069983,-2.26,1075519
2012-05-31,24,neutral,0.9101954,-2.99,1118700
2012-06-01,83,neutral,0.7787743,-4.58,885709
2012-06-05,17,neutral,0.9337825,0.11,630885
2012-06-14,10,neutral,0.94699186,-1.28,872160
2012-06-20,12,neutral,0.7650054,5.27,3422341
2012-06-25,43,neutral,0.92793477,-2.0,1503185
2012-06-27,10,neutral,0.86490434,1.11,1047193
2012-06-28,11,neutral,0.85443443,-1.72,914039
2012-07-02,6,neutral,0.9298276,-2.84,1315533
2012-07-12,12,neutral,0.56731373,3.77,1125669
2012-07-16,68,neutral,0.69933224,4.99,1743907
2012-07-23,17,neutral,0.8544355,-3.55,1386742
2012-07-27,9,neutral,0.7684364,4.91,1672967
2012-07-31,17,neutral,0.5409999,0.26,1575059
2012-08-01,10,neutral,0.7604288,-4.27,1592216
2012-08-03,4,neutral,0.7594485,4.48,1209469
2012-08-27,16,neutral,0.8567906,-4.0,1350324
2012-09-07,25,neutral,0.5411922,2.81,953150
2012-09-24,38,neutral,0.74600685,2.13,1302003
2012-10-01,96,neutral,0.91621196,-0.41,884304
2012-10-02,21,neutral,0.9085114,2.2,728969
2012-10-03,55,neutral,0.8106151,-1.68,1055287
2012-10-04,32,neutral,0.8335338,0.34,1541206
2012-10-08,127,neutral,0.8461295,1.25,890005
2012-10-12,50,neutral,0.84557563,-2.4,987534
2012-10-23,17,neutral,0.74881285,1.94,749273
2012-11-05,36,neutral,0.9010626,8.93,2049117
2012-11-08,31,neutral,0.89971256,-0.73,1273985
2012-11-16,11,neutral,0.8782953,3.31,908649
2012-11-20,45,neutral,0.90831876,0.24,922426
2012-11-21,10,neutral,0.5397003,-1.6,963132
2012-11-23,21,neutral,0.71698284,-1.05,430212
2012-11-26,28,neutral,0.9449029,0.43,496219
2012-11-27,155,neutral,0.75621176,-0.37,910769
