date,reply count,sentiment type,sentiment score,change_percent,volume
2011-12-01,41,positive,0.9733198,-0.43,1030107
2011-12-05,36,positive,0.97538143,3.36,1160049
2011-12-21,23,positive,0.94992024,-1.18,1705806
2011-12-22,47,positive,0.97246295,0.72,1009801
2011-12-29,70,positive,0.9662924,0.77,488150
2011-12-30,120,positive,0.787732,-0.59,339860
2012-01-04,15,positive,0.9840772,-1.32,630036
2012-01-06,13,positive,0.7948282,-0.77,986286
2012-01-11,28,positive,0.8703791,2.21,672239
2012-01-12,16,positive,0.5933018,0.07,729300
2012-01-13,24,positive,0.9150074,-19.33,5506437
2012-01-23,19,positive,0.96859086,0.64,594533
2012-01-24,36,positive,0.52293605,2.43,857913
2012-01-30,13,positive,0.9685231,0.82,728979
2012-01-31,18,positive,0.98243374,-1.69,956712
2012-02-02,52,positive,0.95575607,2.27,805609
2012-02-06,24,positive,0.9082973,2.09,652161
2012-02-07,10,positive,0.84945965,-0.63,1021502
2012-02-08,45,positive,0.96785605,1.04,623626
2012-02-10,3,positive,0.9215815,-4.54,1874138
2012-02-14,17,positive,0.8918897,5.34,1811364
2012-02-27,13,positive,0.7623753,-0.39,605953
2012-02-29,9,positive,0.5205332,-1.18,535684
2012-03-13,8,positive,0.72078323,0.22,1001642
2012-03-15,81,positive,0.9641885,-0.82,571596
2012-03-21,10,positive,0.70688957,0.54,607103
2012-03-22,4,positive,0.9098479,-2.13,522353
2012-03-28,25,positive,0.91983014,-0.24,954969
2012-04-02,8,positive,0.98259515,-1.77,1028503
2012-04-03,37,positive,0.7253717,3.91,1104149
2012-04-09,24,positive,0.9814122,-3.86,1655804
2012-04-11,31,positive,0.98611104,1.94,1105446
2012-04-16,9,positive,0.9756845,-3.99,1099750
2012-04-20,12,positive,0.8921681,0.0,821773
2012-04-23,10,positive,0.9685086,-3.68,890714
2012-04-30,24,positive,0.9880938,-0.63,413948
2012-05-01,35,positive,0.9873986,1.96,658947
2012-05-03,19,positive,0.8585731,-4.36,842106
2012-05-07,18,positive,0.97849905,2.01,1157968
2012-05-10,26,positive,0.7174431,9.65,5556300
2012-05-11,33,positive,0.8477446,-2.15,1221204
2012-05-22,412,positive,0.97848606,7.02,2366169
2012-05-24,159,positive,0.93276876,-2.26,1075519
2012-05-25,114,positive,0.9816009,-1.68,757009
2012-05-31,68,positive,0.8238124,-2.99,1118700
2012-06-14,17,positive,0.98790437,-1.28,872160
2012-06-18,58,positive,0.9399989,6.45,1256795
2012-06-27,15,positive,0.91973376,1.11,1047193
2012-07-02,101,positive,0.89631855,-2.84,1315533
2012-07-05,45,positive,0.9820207,1.86,1253865
2012-07-09,77,positive,0.4982965,1.61,910408
2012-07-12,19,positive,0.9069327,3.77,1125669
2012-07-17,119,positive,0.68959713,-7.26,2569462
2012-07-23,25,positive,0.91887385,-3.55,1386742
2012-07-27,39,positive,0.9706756,4.91,1672967
2012-07-30,18,positive,0.9802162,-7.32,2066039
2012-08-01,359,positive,0.9639558,-4.27,1592216
2012-08-03,27,positive,0.66250336,4.48,1209469
2012-08-06,3,positive,0.5922354,3.67,1528168
2012-08-22,73,positive,0.99222696,2.89,775489
2012-08-27,43,positive,0.9121604,-4.0,1350324
2012-08-29,9,positive,0.9776598,-0.98,838882
2012-08-30,14,positive,0.8966909,0.0,656307
2012-09-14,57,positive,0.9519961,3.09,1536668
2012-09-17,99,positive,0.9795105,7.07,3212990
2012-09-24,23,positive,0.51474345,2.13,1302003
2012-09-25,74,positive,0.8568428,-9.78,5684951
2012-11-06,17,positive,0.9319929,-1.11,2323942
2012-11-12,19,positive,0.9580859,2.47,557651
2012-11-13,10,positive,0.9757363,1.75,998262
2012-11-16,32,positive,0.9448935,3.31,908649
2012-11-19,47,positive,0.98877364,3.39,1392547
2012-11-21,85,positive,0.95979834,-1.6,963132
2012-11-23,13,positive,0.96619433,-1.05,430212
2012-11-26,3,positive,0.6597488,0.43,496219
2012-11-28,151,positive,0.9179214,3.36,1525298
2012-11-29,10,positive,0.88671094,1.39,1103314
2012-12-03,85,positive,0.9797613,2.36,2085752
2012-12-04,128,positive,0.9816047,-2.08,1264210
2012-12-05,50,positive,0.681021,-0.56,661486
2012-12-10,25,positive,0.9844877,1.17,929750
2012-12-11,51,positive,0.9728266,2.05,1572590
2012-12-12,6,positive,0.8440102,-0.06,2063876
2012-12-13,12,positive,0.9624173,-4.68,2151223
2012-12-14,4,positive,0.8143749,0.59,1022942
2012-12-19,26,positive,0.98586375,0.06,1298730
2012-12-20,10,positive,0.9747501,-0.52,921193
2012-12-24,35,positive,0.5439001,0.82,375796
2012-12-26,8,positive,0.9817715,-2.01,601784
2012-12-31,32,positive,0.78829455,1.96,594846
2013-01-04,29,positive,0.94945514,-1.07,673993
2013-01-28,35,positive,0.59071827,2.84,1985991
2013-02-04,47,positive,0.987813,-1.46,1127988
2013-02-11,2,positive,0.9785836,-2.09,3266247
2013-02-12,37,positive,0.6785231,-1.38,2261245
2013-02-20,15,positive,0.9468166,-1.89,3121909
2013-02-25,9,positive,0.9634692,-4.79,2890771
2013-02-26,25,positive,0.9354847,0.14,2763049
2013-03-01,164,positive,0.93655187,-0.52,1546599
2013-03-04,104,positive,0.9928062,2.68,1757659
2013-03-07,70,positive,0.9605671,1.43,1158353
2013-03-08,32,positive,0.9605389,0.63,912051
2013-03-11,45,positive,0.5132778,1.64,1579439
2013-03-18,5,positive,0.9835041,-0.4,1316335
2013-03-20,0,positive,0.7715418,2.48,1423683
2013-03-25,144,positive,0.9854428,2.49,2379353
2013-03-26,46,positive,0.9321522,0.88,1808136
2013-04-01,118,positive,0.98479813,15.94,14105870
2013-04-02,42,positive,0.98946065,0.93,6652373
2013-04-03,48,positive,0.9361449,-7.31,5644994
2013-04-09,234,positive,0.90798384,-3.18,1696035
2013-04-10,20,positive,0.91895956,3.36,2121087
2013-04-11,113,positive,0.8572454,4.13,3448080
2013-04-19,15,positive,0.5738469,1.83,3012135
2013-04-22,105,positive,0.98364997,4.93,3939326
2013-04-23,3,positive,0.97201157,1.63,3737549
2013-04-25,93,positive,0.98350304,3.11,2796206
2013-04-30,27,positive,0.9869927,-1.73,5523947
2013-05-01,1,positive,0.96069443,-1.31,2742777
2013-05-02,84,positive,0.5254227,1.56,3052332
2013-05-03,2,positive,0.75706977,0.82,3379402
2013-05-06,223,positive,0.97007704,9.07,4372798
2013-05-07,96,positive,0.7615333,-6.71,9994548
2013-05-09,344,positive,0.95108,24.4,28604967
2013-05-13,88,positive,0.8840945,14.38,22416819
2013-05-14,7,positive,0.7633677,-5.19,37163900
2013-05-15,11,positive,0.47392023,1.92,16878698
2013-05-20,3,positive,0.905657,-1.7,8348330
2013-05-21,39,positive,0.86339474,-2.61,9001763
2013-05-30,164,positive,0.7003108,0.31,16140550
2013-06-10,66,positive,0.5228599,-1.95,9234214
2013-06-12,80,positive,0.7877465,3.45,9197523
2013-06-19,85,positive,0.61551404,1.25,8588733
2013-06-28,107,positive,0.9334709,-1.73,5750430
2013-07-01,25,positive,0.92374396,9.15,10903599
2013-07-02,120,positive,0.9870248,0.55,12070319
2013-07-10,6,positive,0.72701514,-0.96,5600011
2013-07-15,509,positive,0.94821495,-2.03,9924335
2013-07-24,44,positive,0.8371416,-0.85,6871371
2013-08-12,321,positive,0.6701779,-3.67,14912179
2013-08-20,353,positive,0.8434429,3.23,6418107
2013-08-26,66,positive,0.93939984,1.47,24171098
2013-09-19,145,positive,0.9801734,7.04,15594569
2013-09-20,75,positive,0.9857443,3.07,13401689
2013-09-25,76,positive,0.9209406,1.6,8252620
2013-09-30,198,positive,0.9614983,1.29,8934540
2013-10-30,66,positive,0.64722025,-3.19,8401755
2013-11-04,53,positive,0.939644,8.04,13120369
2013-11-19,230,positive,0.4695084,3.71,19816149
2013-11-21,114,positive,0.8823454,0.82,11903799
2013-11-25,81,positive,0.89758646,-0.44,10275349
2013-12-03,5,positive,0.96782327,16.53,25682398
2013-12-04,87,positive,0.9589694,-3.97,13147689
2013-12-06,51,positive,0.7821022,-2.22,7909595
2013-12-23,203,positive,0.7722872,0.22,5385505
2014-01-07,19,positive,0.98937523,1.61,5041805
2014-01-27,99,positive,0.76183504,-2.85,8737772
2014-01-30,239,positive,0.7425588,4.34,8575209
2014-02-07,85,positive,0.72940004,4.57,8964053
2014-02-10,148,positive,0.9901378,5.38,12989289
2014-02-14,27,positive,0.8924306,-0.7,6173461
2014-02-25,144,positive,0.8790878,13.94,32796998
2014-03-07,36,positive,0.98479354,-2.66,7818464
2014-03-11,29,positive,0.85545444,-1.86,8836348
2014-03-14,184,positive,0.9927419,-2.87,8289732
2014-04-02,116,positive,0.762045,6.14,10782249
2014-04-07,69,positive,0.966991,-2.22,9855477
2014-04-21,166,positive,0.95976377,3.16,5266489
2014-04-25,43,positive,0.7573522,-3.85,6996657
2014-04-30,138,positive,0.9512508,0.47,4443452
2014-05-12,42,positive,0.86097825,1.32,7004329
2014-05-14,435,positive,0.9238124,0.24,5414944
2014-05-22,38,positive,0.9268962,2.72,6216254
2014-05-29,37,positive,0.905548,0.0,3694595
2014-06-17,159,positive,0.9274544,3.14,13304909
2014-07-01,67,positive,0.7641481,-0.14,4341241
2014-07-10,104,positive,0.9021668,-1.61,4865245
2014-07-14,82,positive,0.9611341,3.93,7208572
2014-08-04,95,positive,0.99027956,2.25,5967405
2014-08-25,330,positive,0.8113214,2.25,4318052
2014-08-26,24,positive,0.62015945,-0.31,3822571
2014-09-08,45,positive,0.7321665,1.7,5505039
2014-09-09,167,positive,0.9758362,-1.29,4567957
2014-09-10,4,positive,0.56256086,0.94,3785987
2014-09-17,207,positive,0.984556,0.25,5179922
2014-09-22,86,positive,0.949251,-3.58,8222963
2014-10-02,308,positive,0.8880253,4.65,9001999
2014-10-10,246,positive,0.7858252,-7.82,12898279
2014-10-16,135,positive,0.5968589,-1.46,5404564
2014-10-28,62,positive,0.6180954,9.52,10516299
2014-11-03,75,positive,0.60258657,0.37,4207267
2014-11-11,24,positive,0.5140606,3.78,7952564
2014-11-19,119,positive,0.58946913,-3.86,7918484
2014-11-25,94,positive,0.9367353,0.56,3159803
2014-12-08,227,positive,0.9095698,-4.18,9225619
2014-12-19,106,positive,0.63237035,0.47,6910460
2014-12-26,198,positive,0.9314547,2.5,3327015
2014-12-31,522,positive,0.5398458,0.08,2402096
2015-01-12,623,positive,0.9925766,-2.15,5950279
2015-01-16,170,positive,0.9741228,0.63,3603157
2015-01-20,340,positive,0.7759618,-0.59,4503181
2015-01-23,109,positive,0.91355896,-0.16,3442370
2015-01-26,196,positive,0.5488408,2.61,3234521
2015-01-28,179,positive,0.91290593,-3.21,3149605
2015-01-30,434,positive,0.8129757,-0.78,3006958
2015-02-09,91,positive,0.8859506,0.06,3472422
2015-02-12,653,positive,0.88562065,-4.66,15649609
2015-02-25,172,positive,0.93899673,-0.17,3909519
2015-02-26,192,positive,0.9822846,1.68,6472854
2015-03-13,88,positive,0.70495224,-1.25,5434297
2015-03-16,304,positive,0.5713717,3.72,5628782
2015-03-17,71,positive,0.8908964,-0.5,4894051
2015-03-18,132,positive,0.8706689,3.07,4820935
2015-03-19,159,positive,0.9733566,-2.52,8475243
2015-03-23,232,positive,0.9756438,0.78,2631625
2015-03-25,177,positive,0.7280333,-3.68,5730388
2015-03-30,970,positive,0.62389296,3.01,10089519
2015-03-31,113,positive,0.7151761,-0.94,5026568
2015-04-02,341,positive,0.9602046,1.82,5010367
2015-04-06,117,positive,0.9235552,6.34,12455809
2015-04-09,66,positive,0.5074567,1.17,3800224
2015-04-13,214,positive,0.8868667,-0.53,3758229
2015-04-15,541,positive,0.7699525,0.18,1952377
2015-04-20,213,positive,0.8781433,-0.73,2559250
2015-04-27,120,positive,0.91041833,6.01,11672629
2015-04-28,232,positive,0.7534705,-0.46,6085378
2015-04-29,886,positive,0.6772363,0.86,3936076
2015-04-30,16,positive,0.9739358,-2.75,3911856
2015-05-04,211,positive,0.9238377,1.98,4434595
2015-05-12,16,positive,0.7523221,2.19,6363428
2015-06-01,36,positive,0.9695313,-0.54,2505056
2015-06-12,49,positive,0.9891352,-0.29,1422334
2015-06-15,39,positive,0.5367214,-0.12,2186174
2015-06-22,145,positive,0.95876884,-1.04,4561078
2015-06-23,135,positive,0.5699112,3.03,3870817
